geneID,Control-Body-1,Control-Body-2,Control-Body-3,Control-Body-4,Control-Body-5,Control-Body-6,Control-Head-1,Control-Head-2,Control-Head-3,Control-Head-4,Control-Head-5,Control-Head-6,Control-Ovary-1,Control-Ovary-2,Control-Ovary-3,Control-Ovary-4,Control-Ovary-5,Control-Ovary-6,DietaryRestriction-Body-1,DietaryRestriction-Body-2,DietaryRestriction-Body-3,DietaryRestriction-Body-4,DietaryRestriction-Body-5,DietaryRestriction-Body-6,DietaryRestriction-Head-1,DietaryRestriction-Head-2,DietaryRestriction-Head-3,DietaryRestriction-Head-4,DietaryRestriction-Head-5,DietaryRestriction-Head-6,DietaryRestriction-Ovary-1,DietaryRestriction-Ovary-2,DietaryRestriction-Ovary-3,DietaryRestriction-Ovary-4,DietaryRestriction-Ovary-5,DietaryRestriction-Ovary-6
26067052,4,3,4,6,5,2,22,27,21,14,10,18,6,9,6,7,8,2,2,1,6,8,4,5,20,14,29,25,23,33,1,5,5,3,6,5
FBgn0085804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0039987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0267798,0,0,0,0,1,1,2,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,12,0,2,3,0,0,0,0,0,0
FBgn0267797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
FBgn0058182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0267430,3,2,0,2,1,2,1,1,1,2,2,0,1,1,1,6,3,1,1,0,2,1,0,1,2,1,4,2,2,3,1,2,2,0,3,2
FBgn0266747,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5740359,2,2,1,0,0,2,1,0,2,4,2,4,1,0,0,2,0,2,0,0,1,0,1,1,3,6,1,3,1,2,0,2,2,0,0,0
3355109,1302,999,995,1540,901,1038,598,701,658,745,1247,670,6160,6514,3734,6558,6201,3240,1303,294,1204,1195,1128,859,732,721,796,1008,872,964,3016,4969,3978,5712,2159,2743
3355106,1300,1149,1092,1604,1208,1331,749,988,789,1242,1137,953,2779,2964,2248,2728,2807,3153,1289,1612,1215,1570,1615,1462,815,1016,906,1254,1190,1281,2794,2413,4011,3110,3543,3242
FBgn0267816,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0
